Citation Key,DOI,PDF Filename,File Location,Electron Probe Microanalysis (EPMA),Scanning Electron Microscopy (SEM / FIB-SEM),Transmission Electron Microscopy (TEM / STEM),Raman Vibrational Spectroscopy,X-ray Diffraction (XRD),Secondary Ion Mass Spectrometry (SIMS / NanoSIMS / SHRIMP),Time-of-Flight SIMS (ToF-SIMS),X-ray Absorption Near Edge Structure (XANES),Laser Ablation Q/SF-ICP-MS (LA-Q/SF-ICP-MS),Laser Ablation Q-ICP-MS (LA-Q-ICP-MS),Laser Ablation SF-ICP-MS (LA-SF-ICP-MS),Laser Ablation MC-ICP-MS (LA-MC-ICP-MS),Laser Ablation ICP-ToF-MS (LA-ICP-ToF-MS),Laser Ablation ICP-TQ-MS (LA-ICP-TQ-MS),Solution ICP-MS,Solution Q-ICP-MS,Solution SF-ICP-MS,Multi-Collector ICP-MS (MC-ICP-MS),Thermal Ionization Mass Spectrometry (TIMS),Laser Assisted Fluorination – IRMS (LAF),Accelerator Mass Spectrometry (AMS),Static Noble Gas & Nitrogen Mass Spectrometry (Noble Gas MS),Lab X-ray Computed Tomography (Lab-XCT)
Barnes2025,10.1038/s41550-025-02631-6,Barnes et al. 2025 (The variety and origin of materials accreted by Bennu's parent asteroid).pdf,EPMA,Detailed,Detailed,N,N,N,Detailed,N,N,N,N,N,N,N,N,Detailed,Brief,Detailed,Detailed,N,Detailed,N,Detailed,N
BZhang2022,10.1016/j.gca.2022.02.004,"B. Zhang et al, 2022.pdf",LA-ICP-MS/Validation Papers,Brief,Brief,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N
Chernonozhkin2021,10.1016/j.chemgeo.2020.119996,"Chernonozhkin et al, 2021.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N
Chernonozhkin2024,10.1039/d3ja00335c,"Chernonozhkin et al, 2024.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N,N,N,N,N,N
Masuda2024,10.1111/maps.14190,Meteorit   Planetary Scien - 2024 - Masuda - Distribution analysis of rare earth elements in fine‐grained CAIs of the.pdf,LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N
Mittlefehldt2024,N,"Mittlefehldt, 2024 Appendix A.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N
Nakanishi2022,10.1016/j.gca.2021.11.009,"Nakanishi et al, 2022.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,Detailed,N,N,N,N
Navarro2024,10.1021/acsearthspacechem.3c00283,"Navarro et al, 2024.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
Zhang2022,10.46770/AS.2022.007,"Zhang et al, 2022.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N
Liu2024,10.1039/d4ja00275j,"Liu et al, 2024.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N
Liu2025,10.1016/j.gca.2025.01.017,"Liu et al, 2025.pdf",LA-ICP-MS/Validation Papers,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N
Eckley2024,N,20241029_XCT_JSC-ARES_OREX-800099-0_1_instrumentMetadata_1.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Genge2025,10.1038/s41467-025-61357-1,"Genge et al, 2025.pdf",XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Neuman2025,10.1029/2024JE008556,JGR Planets - 2025 - Neuman - Revealing the Moon s Taurus‐Littrow Landslide via Integrated Analysis of Pristine Apollo 17.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Shearer2024,N,"Shearer et al, 2024.pdf",XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Tomkinson2015,10.1111/maps.12424,Meteorit   Planetary Scien - 2015 - Tomkinson - The Northwest Africa  NWA  5790 meteorite  A mesostasis‐rich nakhlite with.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Charles2018,10.1111/maps.13038,Meteorit   Planetary Scien - 2018 - Charles - Shapes of chondrules determined from the petrofabric of the CR2 chondrite NWA.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Treiman2022,10.1111/maps.13904,Meteorit   Planetary Scien - 2022 - Treiman - Coordinated neutron and X‐ray computed tomography of meteorites  Detection.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Glavin2023,10.1111/maps.14111,Meteorit   Planetary Scien - 2023 - Glavin - Investigating the impact of x‐ray computed tomography imaging on soluble.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
NascimentoDias2019,10.1016/j.apradiso.2019.06.021,"Nascimento-Dias et al, 2019.pdf",XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Richard2019,10.1016/j.chemgeo.2018.11.009,"Richard et al, 2019.pdf",XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Tait2014,N,tait2014.pdf,XCT/Literature Assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed
Chaves2023,10.1016/j.icarus.2023.115634,"Chaves et al, 2023.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Dobrica2022,10.1016/j.gca.2021.11.018,"Dobrica et al, 2022.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
KellerBerger2014,10.1186/1880-5981-66-71,"Keller and Berger, 2014.pdf",TEM/Literature Assessment,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Matsumoto2021,10.1016/j.gca.2021.02.013,"Matsumoto et al, 2021.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Singerling2025,10.1016/j.gca.2025.06.028,"Singerling et al, 2025.pdf",TEM/Literature Assessment,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Thompson2020,10.1016/j.icarus.2020.113775,"Thompson et al, 2020.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Xing2023,10.1021/acsearthspacechem.2c00278,"Xing et al, 2023.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Zeng2024,10.1038/s41550-024-02229-4,"Zeng et al, 2024.pdf",TEM/Literature Assessment,N,Brief,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Cymes2023,10.1111/maps.13941,"Cymes et al, 2023.pdf",TEM/Literature Assessment,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Mo2022,10.46770/AS.2022.014,"Mo et al, 2022.pdf",TEM/Literature Assessment,N,N,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Hu2008,N,Hu and Gao 2008.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
Yu2005,N,Yu et al 2005.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
Makishima2011,N,Makishima et al 2011.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
Long2025,N,Long et al 2025.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
Wang2025,N,Wang et al 2025.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Brief,Brief,N,N,N,N,N,N,N
RobinPopieul2012,N,ROBIN-POPIEUL et al 2012.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Brief,Brief,N,N,N,N,N,N,N
JohnAdkins2010,N,John and Adkins 2010.pdf,Solution Q-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Brief,Brief,Brief,N,N,N,N,N,N
Lu2007,N,Lu et al 2007.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,Detailed,N,N,N,N,N,N
Desem2022,10.1016/j.apgeochem.2022.105361,Desem et al 2022.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N
Li2016,N,Li et al 2016.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N
Milne2010,N,milne2010.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N
Misra2014,N,Misra et al 2014.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,N,N,N,N,N
Willbold2005,N,willbold2005.pdf,Solution SF-ICP-MS/Literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,Detailed,N,Brief,N,N,N,N
Budde2016,10.1016/j.epsl.2016.09.020,"Budde et al, 2016.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N
Craddock2008,10.1016/j.chemgeo.2008.04.017,"Craddock et al, 2008.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N,Detailed,N,N,N,N,N
Hopp2021,,"Hopp et al, 2021.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
Hu2022,,"Hu et al, 2022.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
IbanezMejia2020,10.1126/sciadv.aax8648,"Ibanez-Mejia and Tissot, 2020.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,Detailed,Detailed,N,N,N,N
Nie2019,10.3847/2041-8213/ab4a16,"Nie et al, 2019.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
Nowell2008,10.1016/j.chemgeo.2007.11.005,"Nowell et al, 2008.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
PringleMoynier2017,10.1016/j.epsl.2017.05.033,"Pringle and Moynier, 2017.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
Schonbachler2025,,"SCHONBACHLER et al, 2025.pdf",Solution MC-ICP-MS/literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Brief,N,Brief,Detailed,N,N,N,N,N
vanKooten2026,,"van Kooten et al, 2026.pdf",Solution MC-ICP-MS/literature assessment,N,Brief,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,N,N,N,N,N
Wu2023,10.1039/D2JA00407K,"Wu et al, 2023.pdf",LA-Q-ICP-MS/TQ literature assessment,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N,N,N,N,N,N,N
GilDiaz2020,10.1016/j.chemgeo.2019.119370,"Gil-Diaz et al, 2020.pdf",LA-Q-ICP-MS/TQ literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
LopezGarcia2026,10.1111/maps.70109,"Lopez Garcia et al, 2026.pdf",LA-Q-ICP-MS/TQ literature assessment,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Detailed,Detailed,N,N,N,N,N,N,N
